year,distr,avtemp,totalrain,crops,trend,plntdha,prodmt,basalfert,topfert,aprrain,marrain,febrain,janrain,aprtemp,martemp,febtemp,jantemp,octrain,novrain,decrain,octtemp,novtemp,dectemp,totaltemp,tempsd,rainsd,aezs,ageczs,meanrain,raincov,meantemp,tempcov,aez3,aez2a,aez2b,aez1,prodkgs,yieldkgs,temp2,rain2,amchnge2,temprain,ondtemp,jfmtemp,ondrain,jfmrain,amchnge,lnyieldkgs,lnavtemp,lntotalrain,lnondrain,lnjfmrain,lnondtemp,lnjfmtemp,lnamchnge,lntempcov,lnraincov,aers,aer1,aer2,aer3,aer4,dup
1981.0,Chipata,24.1,1037.800048828125,Maize  ,1.0,43981.0,79830.72,0.0,0.0,19.5,248.3,300.5,137.0,21.55,23.2,22.8,23.45,37.8,28.8,285.4,25.5,26.45,23.2,144.6,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,7.983072e+07,1815.1183,580.81,1.077029e+06,,25010.982,25.050001,23.15,352.0,685.8,,7.503906,3.1822119,6.9448586,5.8636312,6.5305862,3.2208738,3.1419947,,1.0989081,3.0353632,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Choma,21.683334,896.5999755859375,Maize  ,1.0,32060.0,130572.0,0.0,0.0,38.5,27.2,240.5,211.2,18.2,20.5,21.3,21.65,64.8,143.9,209.0,22.25,22.7,21.7,130.1,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,1.30572e+08,4072.7385,470.167,803891.5,,19441.277,22.216667,21.15,417.7,478.90002,,8.312071,3.076544,6.7986097,6.0347633,6.1714916,3.1008427,3.0516398,,1.1329083,2.8300116,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Isoka,22.316668,983.8999633789062,Maize  ,1.0,6792.0,6777.0,0.0,0.0,32.2,121.7,236.2,193.0,20.75,21.9,21.7,21.75,18.4,107.7,306.9,23.35,23.5,21.7,133.9,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,6.777e+06,997.7915,498.03366,968059.1,,21957.37,22.85,21.783333,433.0,550.9,,6.9055443,3.1053338,6.8915243,6.070738,6.3115535,3.128951,3.081145,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Kabompo,23.891666,937.7000122070312,Maize  ,1.0,528.0,842.49,0.0,0.0,4.1,267.3,215.7,198.0,21.65,22.9,23.6,23.75,7.0,116.1,133.6,25.25,24.2,23.65,143.34999,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,842490.0,1595.625,570.8117,879281.3,,22403.217,24.366667,23.416666,256.7,681.0,,7.375021,3.1735296,6.84343,5.5479083,6.5235624,3.193216,3.153448,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Kabwe,22.441666,1176.0,Maize  ,1.0,69485.0,191943.0,0.0,0.0,91.4,111.3,254.4,248.7,18.6,20.9,22.4,22.25,40.0,160.8,360.8,23.45,23.9,21.75,134.65,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,1.91943e+08,2762.3662,503.62836,1.382976e+06,,26391.398,23.033333,21.85,561.6,614.39996,,7.923843,3.1109192,7.0698743,6.33079,6.420646,3.1369424,3.0842009,,1.0989081,3.0353632,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Kafue,23.31,1003.7999877929688,Maize  ,1.0,31660.0,29762.64,0.0,0.0,43.6,101.2,348.1,305.0,20.65,22.75,23.15,23.45,4.5,71.3,173.7,24.15,,23.05,116.549995,0.713757,174.34879,1.0,1.0,689.4936,25.286499,24.191387,2.950459,0.0,1.0,0.0,0.0,2.976264e+07,940.07074,543.3561,1.00761444e+06,,23398.578,23.599998,23.116667,249.5,754.3,,6.845955,3.1488824,6.911548,5.519459,6.62579,3.1612465,3.140554,,1.0819608,3.2302706,AERI,1.0,0.0,0.0,0.0,0.0
1981.0,Kasama,21.783333,1241.9500732421875,Maize  ,1.0,8831.0,11011.5,0.0,0.0,26.6,214.3,170.5,315.45,20.425,21.225,21.025002,21.275,38.5,126.5,376.7,24.15,21.9,21.125,130.70001,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,1.10115e+07,1246.9143,474.51358,1.54244e+06,,27053.812,22.391666,21.175001,541.7,700.25,,7.128427,3.081145,7.1244383,6.2947125,6.5514374,3.1086888,3.0528214,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Kasempa,22.525,1123.9000244140625,Maize  ,1.0,5307.0,5791.95,0.0,0.0,16.1,244.0,248.9,204.2,20.05,22.2,22.2,22.25,84.3,131.0,211.5,23.6,23.1,21.8,135.15,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,5.79195e+06,1091.3793,507.3756,1.2631512e+06,,25315.848,22.833334,22.216667,426.8,697.1,,6.995198,3.1146257,7.02456,6.0563154,6.546929,3.1282215,3.1008427,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Kawambwa,22.916666,1227.2000732421875,Maize  ,1.0,8920.0,481.05,0.0,0.0,65.3,277.2,204.8,203.6,21.7,22.3,22.6,22.5,84.1,222.0,235.5,24.35,23.25,22.5,137.5,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,481050.0,53.92937,525.1736,1.50602e+06,,28123.334,23.366667,22.466667,541.6,685.60004,,3.9876752,3.1318643,7.1124907,6.2945275,6.5302944,3.1513104,3.1120327,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Livingstone,23.166666,943.5999755859375,Maize  ,1.0,6870.0,41505.3,0.0,0.0,9.1,130.1,299.0,156.5,20.9,22.3,23.25,23.4,18.5,227.7,111.8,23.7,23.5,22.85,139.0,0.713757,174.34879,1.0,1.0,689.4936,25.286499,24.191387,2.950459,0.0,1.0,0.0,0.0,4.15053e+07,6041.5283,536.6944,890380.94,,21860.066,23.35,22.983334,358.0,585.6,,8.706412,3.1427145,6.8497024,5.880533,6.372637,3.150597,3.1347694,,1.0819608,3.2302706,AERI,1.0,0.0,0.0,0.0,0.0
